name,datetime,humidity,precip,windspeed,cloudcover,visibility,tempmax c,tempmin c,avgtemp c,feelslikemax c,feelslikemin c,avgfeelsliketemp c,dewpoint c,precip_chance
Crown Point,2012-07-27,74.3,0.0,18.3,76.1,7.4,30.0,25.0,27.2,33.3,25.0,28.8,22.1,0
Crown Point,2012-07-28,78.1,0.6096,18.3,32.6,7.8,30.2,24.9,28.1,35.1,24.9,31.3,23.8,1
Crown Point,2012-07-29,84.0,24.892,14.3,58.0,6.9,29.1,25.0,27.2,35.6,25.0,30.1,24.2,1
Crown Point,2012-07-30,78.0,0.9144,18.3,41.4,7.6,30.1,25.9,28.1,36.2,25.9,31.6,23.8,1
Crown Point,2012-07-31,80.6,1.9304,13.0,56.8,7.5,30.0,25.1,27.9,36.2,25.1,31.8,24.2,1
Crown Point,2012-08-01,77.9,9.398,20.8,68.4,6.6,30.0,26.0,27.6,35.1,26.0,30.1,23.3,1
Crown Point,2012-08-02,78.8,5.1054,18.3,69.9,6.7,30.0,25.0,27.4,34.1,25.0,29.9,23.3,1
Crown Point,2012-08-03,87.7,34.9758,24.2,87.3,6.5,28.2,23.9,26.4,33.1,23.9,28.6,24.2,1
Crown Point,2012-08-04,79.3,3.2766,21.9,67.1,7.1,30.1,26.0,28.1,36.2,26.0,32.1,24.2,1
Crown Point,2012-08-05,78.5,2.9972,20.8,57.1,6.8,30.1,25.0,27.2,36.0,25.0,29.0,23.1,1
Crown Point,2012-08-06,86.6,9.1186,17.2,82.0,7.1,29.0,24.8,26.5,33.6,24.8,28.3,24.1,1
Crown Point,2012-08-07,88.2,6.604,13.9,85.9,7.2,29.1,25.0,26.6,35.8,25.0,28.2,24.4,1
Crown Point,2012-08-08,83.2,0.7874,15.0,67.2,7.5,30.0,24.9,27.8,36.2,24.9,31.7,24.7,1
Crown Point,2012-08-09,81.1,2.8194,14.3,55.4,7.6,30.1,26.0,27.9,35.1,26.0,31.6,24.3,1
Crown Point,2012-08-10,79.4,1.7272,16.1,55.5,7.4,31.0,25.0,28.1,37.7,25.0,31.9,24.2,1
Crown Point,2012-08-11,85.7,13.9954,16.1,89.3,6.4,28.4,24.0,26.4,33.7,24.0,28.5,23.8,1
Crown Point,2012-08-12,80.1,30.2006,19.7,84.7,7.2,30.0,25.0,28.1,37.4,25.0,32.2,24.3,1
Crown Point,2012-08-13,81.7,0.508,16.1,30.6,8.1,30.0,24.3,27.1,35.1,24.3,29.5,23.6,1
Crown Point,2012-08-14,78.6,0.9906,13.9,35.5,7.5,30.0,25.0,27.6,34.1,25.0,30.0,23.4,1
Crown Point,2012-08-15,79.1,6.095999999999999,20.8,40.4,6.9,31.0,25.0,27.7,37.7,25.0,30.9,23.5,1
Crown Point,2012-08-16,78.4,0.7874,17.2,44.7,7.4,31.0,25.0,27.8,36.5,25.0,30.7,23.7,1
Crown Point,2012-08-17,84.2,0.7874,17.2,54.0,7.0,30.1,25.0,27.5,36.3,25.0,30.7,24.6,1
Crown Point,2012-08-18,80.1,1.778,18.3,46.1,8.4,31.1,26.0,28.2,37.7,26.0,32.2,24.4,1
Crown Point,2012-08-19,76.4,1.2192,13.9,76.9,6.9,31.0,25.0,27.7,34.1,25.0,29.9,23.0,1
Crown Point,2012-08-20,74.8,0.2032,16.6,43.2,7.1,30.0,25.0,27.8,34.1,25.0,30.3,22.8,1
Crown Point,2012-08-21,77.5,2.0066,6.9,59.7,7.2,29.1,25.0,27.1,33.6,25.0,29.2,22.7,1
Crown Point,2012-08-22,80.9,3.5052000000000003,17.2,78.6,7.0,29.1,25.8,27.6,34.5,25.8,31.1,24.0,1
Crown Point,2012-08-23,92.2,76.2254,21.5,88.3,5.9,28.2,22.0,24.8,32.9,22.0,24.9,23.4,1
Crown Point,2012-08-24,82.7,4.0894,17.4,88.6,7.1,28.3,24.0,26.6,32.7,24.0,27.9,23.3,1
Crown Point,2012-08-25,81.5,8.102599999999999,16.1,84.7,7.0,30.0,25.0,27.9,36.2,25.0,31.4,24.3,1
Crown Point,2012-08-26,81.4,0.1016,17.2,88.7,7.2,30.1,25.32,26.6,36.3,25.52083333333333,29.4,23.8,1
Crown Point,2012-08-27,82.9,0.9906,12.5,51.4,7.6,30.0,24.0,27.1,36.2,24.0,29.7,23.8,1
Crown Point,2012-08-28,80.8,0.0,15.0,36.5,7.4,30.1,25.0,27.8,36.3,25.0,31.1,24.1,0
Crown Point,2012-08-29,83.3,0.508,11.4,46.6,7.2,30.1,25.9,27.9,37.4,25.9,31.6,24.7,1
Crown Point,2012-08-30,81.0,5.1054,12.8,45.0,7.6,30.0,26.0,27.7,36.2,26.0,30.7,24.1,1
Crown Point,2012-08-31,79.5,3.5052000000000003,8.5,46.9,7.0,30.0,26.0,27.7,35.1,26.0,30.7,23.7,1
Crown Point,2012-09-01,77.7,0.0,8.1,77.4,7.3,30.1,25.0,27.8,35.2,25.0,30.6,23.5,0
Crown Point,2012-09-02,74.3,0.0,18.3,51.0,7.7,31.0,26.0,28.7,36.5,26.0,32.4,23.6,0
Crown Point,2012-09-03,77.9,6.095999999999999,15.0,69.5,7.4,31.0,27.0,28.6,37.7,29.2,33.3,24.3,1
Crown Point,2012-09-04,79.7,2.9972,15.9,74.8,6.8,30.8,26.0,27.9,38.6,26.0,31.4,24.0,1
Crown Point,2012-09-05,78.1,13.9954,17.2,51.0,7.3,31.0,26.0,28.5,37.6,26.0,32.8,24.3,1
Crown Point,2012-09-06,74.8,0.1016,12.8,37.7,7.2,31.0,26.0,28.6,35.4,26.0,31.7,23.4,1
Crown Point,2012-09-07,75.0,0.0,13.9,49.3,7.5,31.0,25.0,28.4,36.5,25.0,32.1,23.6,0
Crown Point,2012-09-08,80.2,0.0,13.9,35.2,7.5,30.8,25.0,28.1,37.3,25.0,31.8,24.3,0
Crown Point,2012-09-09,80.3,0.508,13.9,50.6,7.1,31.0,26.0,28.1,37.7,26.0,32.0,24.3,1
Crown Point,2012-09-10,84.2,1.2954,13.9,85.2,7.0,30.8,24.0,27.1,37.3,24.0,29.7,24.1,1
Crown Point,2012-09-11,78.3,0.8128,14.8,81.4,7.1,30.1,25.9,27.9,36.2,25.9,31.0,23.7,1
Crown Point,2012-09-12,79.1,0.1016,13.9,66.7,7.4,31.1,25.0,27.9,36.6,25.0,31.1,23.8,1
Crown Point,2012-09-13,79.9,0.1016,15.2,82.6,7.8,31.1,25.8,28.4,37.8,25.8,32.4,24.6,1
Crown Point,2012-09-14,74.2,0.4064,15.9,54.0,7.8,31.0,26.0,28.9,36.5,26.0,32.9,23.7,1
Crown Point,2012-09-15,76.1,0.0,12.8,52.7,8.1,31.0,25.0,28.3,35.4,25.0,31.4,23.6,0
Crown Point,2012-09-16,76.8,0.1016,11.2,47.6,7.5,30.1,26.0,28.3,36.2,26.0,31.9,23.7,1
Crown Point,2012-09-17,75.1,0.7111999999999999,15.0,42.5,8.4,31.1,25.9,28.4,36.5,25.9,31.8,23.5,1
Crown Point,2012-09-18,75.5,0.0,15.0,73.4,8.1,32.0,26.0,28.9,40.4,26.0,33.5,24.1,0
Crown Point,2012-09-19,69.4,0.0,13.9,40.2,8.2,31.2,27.9,29.3,35.4,30.6,33.1,23.0,0
Crown Point,2012-09-20,75.9,3.5052000000000003,18.3,55.9,6.9,31.0,26.0,28.5,36.6,26.0,31.9,23.7,1
Crown Point,2012-09-21,75.0,0.9906,19.5,48.9,7.4,31.8,27.0,28.9,38.7,29.2,33.5,24.0,1
Crown Point,2012-09-22,72.3,1.8034,20.8,62.0,7.2,32.8,26.8,28.9,39.0,29.2,32.9,23.4,1
Crown Point,2012-09-23,78.9,26.8986,16.1,90.4,6.0,31.1,24.0,26.9,36.5,24.0,28.7,22.8,1
Crown Point,2012-09-24,79.1,7.112,17.2,76.5,7.3,31.1,24.0,27.9,37.7,24.0,31.3,23.8,1
Crown Point,2012-09-25,79.9,0.0,15.0,65.8,7.2,30.1,26.0,28.2,36.3,26.0,32.0,24.4,0
Crown Point,2012-09-26,79.2,0.1016,9.2,66.7,7.6,31.0,25.0,27.6,35.4,25.0,29.7,23.5,1
Crown Point,2012-09-27,77.9,0.0,13.9,60.6,7.7,31.0,25.1,28.2,36.5,25.1,31.4,23.9,0
Crown Point,2012-09-28,75.3,0.1016,13.9,76.5,7.5,31.0,26.0,28.8,37.7,26.0,33.1,23.9,1
Crown Point,2012-09-29,76.9,0.3048,16.1,49.0,7.5,31.8,26.0,29.1,40.0,26.0,33.8,24.6,1
Crown Point,2012-09-30,82.0,10.3886,19.5,63.1,6.6,30.0,25.0,27.3,35.1,25.0,29.9,23.8,1
Crown Point,2012-10-01,77.9,2.0066,16.1,42.0,7.2,31.0,25.1,28.3,37.7,25.1,31.7,23.9,1
Crown Point,2012-10-02,77.9,0.0,16.1,70.6,7.1,31.1,26.0,28.2,36.5,26.0,31.7,23.9,0
Crown Point,2012-10-03,81.9,0.9906,14.1,78.5,7.0,30.0,26.0,27.8,37.4,26.0,31.9,24.4,1
Crown Point,2012-10-04,80.7,2.0066,13.9,84.1,7.1,32.0,25.0,28.4,37.9,25.0,32.4,24.6,1
Crown Point,2012-10-05,79.2,0.0,13.9,87.7,7.0,31.0,26.0,28.1,36.5,26.0,31.4,24.1,0
Crown Point,2012-10-06,77.5,1.2192,17.2,86.6,7.3,31.1,25.9,28.8,37.9,25.9,33.7,24.5,1
Crown Point,2012-10-07,77.7,0.3048,19.5,63.6,7.0,31.1,25.8,28.8,39.1,25.8,33.6,24.5,1
Crown Point,2012-10-08,77.8,22.606,16.1,68.1,6.7,31.1,24.1,28.2,37.7,24.1,31.7,23.8,1
Crown Point,2012-10-09,79.5,2.0066,12.8,61.4,7.3,30.8,25.8,27.4,35.3,25.8,29.7,23.4,1
Crown Point,2012-10-10,81.6,0.3048,13.9,81.5,7.2,30.1,25.9,27.7,36.4,25.9,30.8,24.2,1
Crown Point,2012-10-11,85.8,19.9898,11.4,85.0,7.1,30.1,23.8,26.9,35.1,23.8,29.1,24.2,1
Crown Point,2012-10-12,82.9,1.9812,21.3,86.7,6.5,29.1,25.0,27.4,33.9,25.0,30.6,24.2,1
Crown Point,2012-10-13,84.0,99.2886,25.3,89.4,6.9,29.0,25.0,27.0,34.5,25.0,29.6,24.1,1
Crown Point,2012-10-14,80.0,1.8288,13.9,83.3,7.3,30.0,26.8,28.3,37.4,29.4,33.0,24.6,1
Crown Point,2012-10-15,81.8,0.2032,11.4,88.0,7.5,31.0,25.8,28.1,39.1,25.8,32.3,24.7,1
Crown Point,2012-10-16,83.3,0.0,15.0,75.8,7.5,30.8,25.1,27.9,38.4,25.1,31.7,24.7,0
Crown Point,2012-10-17,79.1,0.6096,15.0,88.3,7.7,31.0,25.9,28.3,36.5,25.9,31.7,24.2,1
Crown Point,2012-10-18,82.9,9.906,16.1,89.8,6.7,29.0,25.0,26.8,33.2,25.0,28.4,23.6,1
Crown Point,2012-10-19,80.5,0.3048,15.0,86.2,7.1,30.0,26.0,27.9,36.2,26.0,31.6,24.2,1
Crown Point,2012-10-20,78.1,0.1016,16.1,80.2,7.6,31.1,26.9,28.7,37.7,29.6,33.2,24.4,1
Crown Point,2012-10-21,77.8,0.0,13.9,72.7,8.7,30.1,25.0,28.0,35.1,25.0,31.1,23.7,0
Crown Point,2012-10-22,82.4,0.2032,14.3,44.6,8.3,30.0,25.0,27.1,36.2,25.0,29.4,23.7,1
Crown Point,2012-10-23,80.0,2.9972,17.2,40.1,8.4,31.0,24.9,27.3,36.6,24.9,29.5,23.4,1
Crown Point,2012-10-24,82.6,2.0066,20.8,46.6,7.2,31.8,25.0,27.7,40.1,25.0,31.1,24.4,1
Crown Point,2012-10-25,82.3,7.899399999999999,16.1,82.9,6.7,31.1,25.8,28.1,40.6,25.8,31.7,24.7,1
Crown Point,2012-10-26,82.3,4.013199999999999,19.5,61.3,7.1,30.8,24.8,27.6,37.6,24.8,31.2,24.3,1
Crown Point,2012-10-27,78.4,0.9906,15.0,60.0,7.9,31.0,25.0,28.7,36.5,25.0,33.1,24.4,1
Crown Point,2012-10-28,74.6,0.0,15.0,68.9,7.8,30.1,27.8,28.9,40.4,31.2,33.2,23.8,0
Crown Point,2012-10-29,78.8,0.0,16.1,29.5,8.1,30.8,26.9,28.5,38.4,29.6,33.0,24.4,0
Crown Point,2012-10-30,75.2,0.1016,15.7,34.9,7.3,32.0,25.9,28.3,39.2,25.9,31.8,23.4,1
Crown Point,2012-10-31,82.3,39.9034,11.4,61.1,6.8,31.0,24.1,26.9,37.7,24.1,28.9,23.5,1
Crown Point,2012-11-01,85.4,6.1976,14.1,79.3,7.1,29.0,24.0,26.7,34.5,24.0,28.6,23.9,1
Crown Point,2012-11-02,73.4,0.1016,16.8,80.6,7.5,31.0,25.0,28.2,35.4,25.0,30.9,22.9,1
Crown Point,2012-11-03,77.4,0.0,16.1,51.7,8.3,31.1,24.0,27.4,37.4,24.0,30.1,23.1,0
Crown Point,2012-11-04,82.3,0.9906,13.9,75.5,6.7,28.0,24.9,26.2,32.7,24.9,27.2,22.9,1
Crown Point,2012-11-05,81.9,0.7874,16.8,75.2,6.4,31.0,25.0,27.1,37.7,25.0,29.2,23.7,1
Crown Point,2012-11-06,78.9,0.9906,15.9,73.9,7.1,30.1,25.0,27.4,35.2,25.0,29.9,23.4,1
Crown Point,2012-11-07,77.6,2.0066,15.4,50.8,7.8,31.6,25.0,28.1,39.0,25.0,30.9,23.6,1
Crown Point,2012-11-08,85.4,6.095999999999999,17.4,51.3,6.3,30.8,25.0,27.2,38.6,25.0,30.3,24.6,1
Crown Point,2012-11-09,81.4,2.794,19.6,63.0,6.9,30.8,24.0,27.7,38.5,24.0,30.8,24.1,1
Crown Point,2012-11-10,80.6,0.6096,17.2,44.5,7.2,31.1,25.0,28.0,39.1,25.0,31.6,24.3,1
Crown Point,2012-11-11,84.4,30.988,15.4,60.3,7.2,29.0,24.8,26.6,35.6,24.8,28.8,23.7,1
Crown Point,2012-11-12,79.2,0.3048,13.9,70.4,7.5,31.0,23.1,27.2,36.5,23.1,29.8,23.2,1
Crown Point,2012-11-13,80.8,5.08,17.2,79.6,7.9,31.0,25.0,27.2,36.5,25.0,29.4,23.5,1
Crown Point,2012-11-14,78.9,1.016,18.3,68.3,7.2,32.4,25.0,28.4,42.8,25.0,32.8,24.3,1
Crown Point,2012-11-15,81.3,0.508,13.9,36.7,9.0,31.1,25.0,27.7,37.9,25.0,30.6,24.1,1
Crown Point,2012-11-16,79.8,0.9144,13.9,69.3,7.4,31.0,24.0,27.4,35.4,24.0,30.0,23.5,1
Crown Point,2012-11-17,81.6,5.9944,17.2,84.9,7.1,31.0,25.0,27.7,36.5,25.0,30.9,24.2,1
Crown Point,2012-11-18,84.3,0.508,6.9,69.8,7.3,28.0,25.0,26.3,32.7,25.0,27.8,23.4,1
Crown Point,2012-11-19,75.8,0.0,23.0,67.3,7.4,31.0,25.0,27.5,36.7,25.0,29.7,22.6,0
Crown Point,2012-11-20,73.7,0.0,15.2,35.3,7.6,30.8,25.0,27.6,35.3,25.0,29.9,22.4,0
Crown Point,2012-11-21,78.1,0.0,19.5,46.2,7.9,31.0,25.0,27.9,38.5,25.0,31.4,23.7,0
Crown Point,2012-11-22,77.5,0.4064,18.3,45.4,8.2,31.0,25.0,28.3,37.6,25.0,32.1,23.9,1
Crown Point,2012-11-23,74.4,0.0,17.2,44.9,10.1,31.1,26.0,28.7,35.6,26.0,32.3,23.6,0
Crown Point,2012-11-24,79.7,0.9906,25.3,68.6,6.7,31.3,24.9,27.5,36.7,24.9,29.8,23.6,1
Crown Point,2012-11-25,86.0,26.1874,19.0,69.3,7.3,29.1,25.0,26.9,34.7,25.0,29.7,24.4,1
Crown Point,2012-11-26,77.7,0.3048,20.8,42.8,7.9,31.1,25.8,27.9,39.1,25.8,30.7,23.6,1
Crown Point,2012-11-27,82.2,13.0048,19.2,55.6,6.9,30.0,24.0,26.6,36.2,24.0,28.4,23.2,1
Crown Point,2012-11-28,79.6,26.1112,22.6,36.9,8.3,30.8,24.8,27.2,36.3,24.8,29.7,23.3,1
Crown Point,2012-11-29,78.2,2.0066,18.1,53.4,8.1,30.1,24.8,27.1,35.2,24.8,29.4,22.9,1
Crown Point,2012-11-30,80.6,6.400799999999999,16.8,84.9,8.0,29.0,25.0,26.8,33.6,25.0,28.7,23.2,1
Crown Point,2012-12-01,83.2,3.2004,20.8,88.5,6.2,29.0,23.7,26.1,34.5,23.7,27.5,23.0,1
Crown Point,2012-12-02,74.1,8.6106,15.9,84.3,7.8,28.1,25.0,26.7,31.7,25.0,27.7,21.6,1
Crown Point,2012-12-03,78.2,2.9972,12.8,79.1,6.9,30.1,24.0,26.4,33.4,24.0,27.9,22.3,1
Crown Point,2012-12-04,83.2,0.9906,11.4,80.0,7.6,30.6,24.0,26.4,37.2,24.0,28.1,23.3,1
Crown Point,2012-12-05,82.4,0.7111999999999999,9.4,71.4,8.2,30.0,24.9,26.9,36.2,24.9,29.2,23.6,1
Crown Point,2012-12-06,84.3,13.9954,14.5,63.7,7.0,29.0,24.0,26.3,33.6,24.0,27.9,23.4,1
Crown Point,2012-12-07,82.9,7.899399999999999,17.2,58.7,7.1,31.0,24.0,26.9,36.5,24.0,29.4,23.7,1
Crown Point,2012-12-08,83.4,30.4038,19.5,81.8,6.0,31.0,24.9,26.7,36.5,24.9,28.8,23.6,1
Crown Point,2012-12-09,83.1,4.013199999999999,17.0,79.6,7.2,30.1,25.0,27.0,37.5,25.0,29.6,23.8,1
Crown Point,2012-12-10,88.8,26.8986,23.0,78.4,5.8,29.0,24.0,26.1,34.5,24.0,27.8,24.1,1
Crown Point,2012-12-11,83.1,8.102599999999999,15.7,70.8,6.4,30.1,24.0,26.2,35.2,24.0,27.8,23.1,1
Crown Point,2012-12-12,81.7,15.011399999999998,20.8,62.6,6.3,31.0,24.0,26.9,39.1,24.0,29.2,23.4,1
Crown Point,2012-12-13,73.9,2.4892,21.9,35.4,7.6,31.1,24.8,27.2,35.1,24.8,28.9,21.9,1
Crown Point,2012-12-14,75.5,0.7874,20.8,64.1,7.4,30.1,23.1,26.3,35.2,23.1,27.7,21.5,1
Crown Point,2012-12-15,74.1,0.2032,15.0,66.6,9.5,29.9,23.9,26.3,34.1,23.9,27.4,21.2,1
Crown Point,2012-12-16,74.7,0.0,11.9,70.6,8.9,29.7,23.8,26.2,32.2,23.8,27.0,21.2,0
Crown Point,2012-12-17,78.1,1.9304,17.2,65.6,6.9,29.0,23.0,26.6,32.0,23.0,28.1,22.3,1
Crown Point,2012-12-18,84.1,24.892,13.9,86.6,6.4,28.0,23.0,25.4,31.2,23.0,26.1,22.5,1
Crown Point,2012-12-19,82.7,7.594599999999999,17.0,85.6,7.1,30.0,23.0,26.2,35.3,23.0,27.4,22.9,1
Crown Point,2012-12-20,84.7,5.1054,17.2,82.1,6.5,30.0,24.0,26.7,36.2,24.0,28.7,23.8,1
Crown Point,2012-12-21,86.0,15.112999999999998,16.6,82.3,7.1,28.0,23.8,25.8,31.9,23.8,26.9,23.3,1
Crown Point,2012-12-22,78.2,0.3048,19.0,55.8,8.2,30.2,24.1,27.2,35.2,24.1,29.3,23.0,1
Crown Point,2012-12-23,77.6,0.4064,18.3,79.5,7.8,30.0,25.0,27.2,34.1,25.0,28.9,22.8,1
Crown Point,2012-12-24,81.0,2.0066,25.3,88.4,6.7,28.0,25.0,26.4,31.9,25.0,27.6,22.8,1
Crown Point,2012-12-25,90.2,40.894,21.9,89.6,6.4,27.0,23.1,25.4,30.1,23.1,25.9,23.6,1
Crown Point,2012-12-26,78.8,0.9906,23.0,44.0,7.4,30.1,24.0,27.3,34.3,24.0,29.2,23.2,1
Crown Point,2012-12-27,75.2,0.4064,19.0,34.1,8.1,30.1,23.0,26.8,34.9,23.0,28.7,22.0,1
Crown Point,2012-12-28,71.5,0.4064,23.0,84.2,7.7,30.1,24.0,26.9,33.3,24.0,28.2,21.2,1
Crown Point,2012-12-29,70.8,0.0,20.6,69.1,8.7,30.1,25.1,27.7,35.2,25.1,29.6,21.8,0
Crown Point,2012-12-30,77.9,2.9972,19.0,45.1,7.0,30.6,24.0,27.0,35.7,24.0,29.2,22.8,1
Crown Point,2012-12-31,74.2,0.0,18.3,27.7,7.6,30.1,24.0,26.7,34.3,24.0,28.0,21.6,0
Crown Point,2013-01-01,71.1,0.0,18.3,37.0,8.0,30.1,23.0,26.6,32.0,23.0,27.7,20.7,0
Crown Point,2013-01-02,83.2,5.1054,17.2,72.1,6.7,27.1,23.0,24.9,29.6,23.0,25.4,21.9,1
Crown Point,2013-01-03,79.1,2.9972,25.3,52.7,7.0,29.8,23.1,25.8,33.7,23.1,26.8,21.8,1
Crown Point,2013-01-04,74.4,0.4064,21.0,52.6,7.1,30.0,24.9,27.5,35.1,24.9,30.2,22.5,1
Crown Point,2013-01-05,79.7,5.8928,20.8,52.0,7.0,29.1,23.8,26.1,33.6,23.8,27.2,22.2,1
Crown Point,2013-01-06,78.8,1.016,24.2,59.0,6.8,29.0,24.0,26.1,33.4,24.0,27.5,22.1,1
Crown Point,2013-01-07,77.0,10.413999999999998,18.3,54.7,7.1,29.1,23.8,26.2,32.1,23.8,27.2,21.7,1
Crown Point,2013-01-08,76.6,1.2954,27.5,51.1,7.0,29.0,24.1,26.6,32.7,24.1,28.1,22.1,1
Crown Point,2013-01-09,75.5,2.794,23.0,54.3,8.1,30.1,23.0,26.3,33.4,23.0,27.8,21.5,1
Crown Point,2013-01-10,75.0,0.8128,18.8,52.3,7.8,29.1,23.7,25.8,32.0,23.7,26.5,20.9,1
Crown Point,2013-01-11,80.8,3.7846,17.4,66.7,7.3,28.1,23.0,25.6,33.4,23.0,26.4,22.1,1
Crown Point,2013-01-12,77.0,11.4046,20.8,47.1,7.4,31.1,23.1,25.9,32.8,23.1,26.7,21.4,1
Crown Point,2013-01-13,74.8,3.5052000000000003,15.2,51.1,8.1,28.1,22.0,25.4,29.9,22.0,25.9,20.6,1
Crown Point,2013-01-14,77.2,0.0,15.9,47.1,8.3,28.8,22.8,25.3,31.2,22.8,25.7,20.9,0
Crown Point,2013-01-15,71.8,0.0,11.4,35.5,8.5,28.1,22.0,24.9,29.7,22.0,25.4,19.4,0
Crown Point,2013-01-16,74.5,0.508,18.8,49.8,8.1,28.0,22.1,25.0,29.7,22.1,25.4,20.1,1
Crown Point,2013-01-17,76.3,0.0,19.0,38.1,8.2,27.1,22.0,24.8,29.4,22.0,25.3,20.2,0
Crown Point,2013-01-18,72.9,0.0,15.7,53.9,8.8,29.1,22.1,25.7,31.3,22.1,26.4,20.3,0
Crown Point,2013-01-19,75.7,0.0,18.3,47.2,8.4,29.1,22.2,25.5,32.8,22.2,26.7,20.9,0
Crown Point,2013-01-20,73.3,0.0,18.3,27.9,8.6,29.1,22.1,25.7,31.4,22.1,26.5,20.4,0
Crown Point,2013-01-21,77.3,0.0,18.3,71.2,8.9,29.8,23.0,26.0,34.6,23.0,27.0,21.6,0
Crown Point,2013-01-22,71.0,0.0,21.9,33.5,8.1,29.2,24.0,26.6,31.6,24.0,27.6,20.8,0
Crown Point,2013-01-23,72.1,0.508,19.5,49.0,7.9,29.1,24.0,26.8,32.1,24.0,27.9,21.3,1
Crown Point,2013-01-24,89.6,12.191999999999998,17.2,81.9,5.8,25.1,23.0,24.2,25.1,23.0,24.2,22.4,1
Crown Point,2013-01-25,77.2,0.508,20.8,77.5,8.3,30.0,23.0,26.2,32.6,23.0,27.2,21.6,1
Crown Point,2013-01-26,71.7,0.3048,20.8,87.7,8.8,29.3,23.0,26.5,31.8,23.0,27.4,20.8,1
Crown Point,2013-01-27,74.0,0.0,21.9,70.4,7.8,29.3,23.0,26.4,32.2,23.0,27.5,21.3,0
Crown Point,2013-01-28,77.4,0.3048,18.6,76.3,7.2,29.1,24.0,26.3,32.2,24.0,27.3,22.0,1
Crown Point,2013-01-29,81.7,9.906,18.8,67.5,6.8,27.1,23.0,25.3,29.3,23.0,25.4,21.9,1
Crown Point,2013-01-30,76.7,0.0,19.5,81.1,7.0,28.1,22.8,25.4,30.3,22.8,26.1,20.9,0
Crown Point,2013-01-31,74.0,2.9972,23.0,53.3,8.7,30.1,23.0,26.1,33.9,23.0,26.9,20.8,1
Crown Point,2013-02-01,70.1,0.0,24.2,45.8,8.3,30.0,23.0,25.7,31.3,23.0,26.2,19.6,0
Crown Point,2013-02-02,76.6,0.0,17.9,51.5,7.7,29.1,21.8,25.1,31.3,21.8,25.7,20.5,0
Crown Point,2013-02-03,71.5,0.7874,19.2,51.1,8.7,29.0,23.1,25.4,30.8,23.1,25.8,19.8,1
Crown Point,2013-02-04,70.5,0.0,11.4,53.3,9.3,27.2,22.8,24.8,28.8,22.8,25.3,19.1,0
Crown Point,2013-02-05,74.0,0.1016,22.1,61.6,7.9,29.2,23.0,26.3,32.8,23.0,27.2,21.2,1
Crown Point,2013-02-06,74.6,0.508,23.0,60.9,7.5,30.1,24.0,26.3,33.4,24.0,27.1,21.3,1
Crown Point,2013-02-07,72.0,0.0,19.5,53.4,7.3,30.1,23.9,26.5,32.7,23.9,27.4,20.9,0
Crown Point,2013-02-08,74.4,0.0,17.2,32.1,8.1,29.1,23.0,25.6,32.0,23.0,26.4,20.6,0
Crown Point,2013-02-09,75.3,0.0,23.0,50.4,8.0,29.1,22.0,25.7,32.0,22.0,26.7,20.9,0
Crown Point,2013-02-10,77.8,9.0932,20.8,61.1,6.6,30.1,23.0,25.7,33.4,23.0,26.3,21.4,1
Crown Point,2013-02-11,70.6,0.0,15.8,47.0,8.0,29.0,23.8,26.2,31.2,23.8,26.9,20.3,0
Crown Point,2013-02-12,71.0,0.0,20.4,53.3,7.3,27.1,23.1,25.6,29.3,23.1,26.2,19.9,0
Crown Point,2013-02-13,75.5,2.9972,16.1,35.7,7.6,29.1,22.0,25.2,31.6,22.0,25.9,20.4,1
Crown Point,2013-02-14,71.8,0.0,23.0,26.9,8.5,30.1,22.1,26.0,32.8,22.1,26.9,20.3,0
Crown Point,2013-02-15,71.5,0.0,23.0,43.6,8.0,30.0,22.0,26.3,32.6,22.0,27.2,20.6,0
Crown Point,2013-02-16,70.6,0.0,23.0,26.8,8.7,29.1,23.0,25.9,31.2,23.0,26.7,20.1,0
Crown Point,2013-02-17,69.9,0.0,23.0,24.8,8.2,30.1,23.1,26.7,34.1,23.1,27.9,20.7,0
Crown Point,2013-02-18,71.4,0.0,23.0,38.3,7.2,30.1,24.1,27.2,33.4,24.1,28.6,21.5,0
Crown Point,2013-02-19,70.8,0.3048,30.2,38.9,7.2,30.0,24.1,26.6,31.9,24.1,27.2,20.7,1
Crown Point,2013-02-20,72.3,1.2954,20.8,48.0,6.7,31.0,24.0,26.3,34.6,24.0,27.2,20.8,1
Crown Point,2013-02-21,74.1,0.508,26.4,61.7,7.8,29.7,23.0,26.1,32.0,23.0,26.9,21.1,1
Crown Point,2013-02-22,76.0,0.0,16.6,40.4,7.8,31.0,23.1,26.2,34.6,23.1,27.3,21.5,0
Crown Point,2013-02-23,78.7,2.0066,16.1,54.7,7.4,29.1,23.0,25.6,32.8,23.0,26.6,21.6,1
Crown Point,2013-02-24,71.6,0.0,18.3,65.0,8.2,29.0,23.2,25.9,30.8,23.2,26.6,20.3,0
Crown Point,2013-02-25,71.5,0.0,23.0,43.0,8.5,30.1,22.9,26.6,33.3,22.9,27.6,20.9,0
Crown Point,2013-02-26,72.8,0.0,21.9,31.7,8.1,30.1,24.1,27.0,33.4,24.1,28.4,21.6,0
Crown Point,2013-02-27,70.6,0.0,25.3,35.4,7.5,30.6,24.9,27.1,35.4,24.9,28.3,21.3,0
Crown Point,2013-02-28,70.9,0.0,17.2,66.4,7.6,30.0,23.7,26.5,33.3,23.7,27.4,20.7,0
